id,name,domain,logo_url,dept,price_band,composition,regions,markets,c1,c2
shein,Shein,shein.com,https://cdn.brandfetch.io/shein.com?c=YOUR_CLIENT_ID,Womenswear,1,0.1,high_street_current|y2k,global,#B49AA8,#78606C
primark,Primark,primark.com,https://cdn.brandfetch.io/primark.com?c=YOUR_CLIENT_ID,Both,1,0.12,high_street_current|normcore,uk|eu,#9AA4B4,#5A6472
handm,H&M,hm.com,https://cdn.brandfetch.io/hm.com?c=YOUR_CLIENT_ID,Both,2,0.25,high_street_current|smart_casual,global,#A4A4AA,#5E5E64
zara,Zara,zara.com,https://cdn.brandfetch.io/zara.com?c=YOUR_CLIENT_ID,Both,2,0.35,high_street_current|corporate_polish,global,#8E8E96,#4A4A52
mango,Mango,shop.mango.com,https://cdn.brandfetch.io/shop.mango.com?c=YOUR_CLIENT_ID,Both,2,0.35,smart_casual|corporate_polish,eu|mena,#A8A2A0,#6E6664
bershka,Bershka,bershka.com,https://cdn.brandfetch.io/bershka.com?c=YOUR_CLIENT_ID,Both,1,0.15,y2k|streetwear,eu|mena,#B0A0B8,#6E5E78
stradivarius,Stradivarius,stradivarius.com,https://cdn.brandfetch.io/stradivarius.com?c=YOUR_CLIENT_ID,Womenswear,1,0.18,y2k|coquette,eu|mena,#C4A8B4,#846874
pull_and_bear,Pull & Bear,pullandbear.com,https://cdn.brandfetch.io/pullandbear.com?c=YOUR_CLIENT_ID,Both,1,0.18,skater|streetwear,eu|mena,#98A8A0,#5A6A62
uniqlo,Uniqlo,uniqlo.com,https://cdn.brandfetch.io/uniqlo.com?c=YOUR_CLIENT_ID,Both,2,0.55,normcore|elevated_basics,global,#9AA4AE,#5E6870
marks_and_spencer,Marks & Spencer,marksandspencer.com,https://cdn.brandfetch.io/marksandspencer.com?c=YOUR_CLIENT_ID,Both,2,0.4,timeless_classic|comfort_first,uk|mena,#9EA6AE,#626A72
next,Next,next.co.uk,https://cdn.brandfetch.io/next.co.uk?c=YOUR_CLIENT_ID,Both,2,0.3,smart_casual|mum_practical,uk,#A6A29C,#68645E
asos,ASOS,asos.com,https://cdn.brandfetch.io/asos.com?c=YOUR_CLIENT_ID,Both,2,0.25,high_street_current|y2k,uk|global,#8E96A0,#4E5660
